,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
329,811990.4808941197,330,0.6245642504534153,50,120000,314000,436000
330,811366.9546902466,331,0.6246525678131148,50,120000,314800,436800
331,810742.6174133779,332,0.6247404792665151,50,120000,315600,437600
332,810117.4752183247,333,0.624827987893828,50,120000,316400,438400
333,809491.5341949093,334,0.6249150967427411,50,120000,317200,439200
334,808864.8003688431,335,0.6250018088288577,50,120000,318000,440000
335,808237.2797025915,336,0.6250881271361287,50,120000,318800,440800
336,807608.9780962253,337,0.62517405461728,50,120000,319600,441600
337,806979.9013882559,338,0.625259594194229,50,120000,320400,442400
338,806350.0553564595,339,0.6253447487584983,50,120000,321200,443200
339,805719.4457186849,340,0.6254295211716193,50,120000,322000,444000
340,805088.0781336529,341,0.6255139142655323,50,120000,322800,444800
341,804455.9582017367,342,0.6255979308429774,50,120000,323600,445600
342,803823.0914657365,343,0.6256815736778819,50,120000,324400,446400
343,803189.4834116353,344,0.6257648455157386,50,120000,325200,447200
344,802555.1394693465,345,0.6258477490739801,50,120000,326000,448000
345,801920.0650134506,346,0.6259302870423468,50,120000,326800,448800
346,801284.2653639151,347,0.6260124620832482,50,120000,327600,449600
347,800647.7457868089,348,0.6260942768321197,50,120000,328400,450400
348,800010.5114950007,349,0.6261757338977726,50,120000,329200,451200
349,799372.5676488495,350,0.6262568358627391,50,120000,330000,452000
350,798733.9193568847,351,0.6263375852836129,50,120000,330800,452800
351,798094.5716764692,352,0.6264179846913817,50,120000,331600,453600
352,797454.5296144632,353,0.6264980365917582,50,120000,332400,454400
353,796813.7981278668,354,0.6265777434655025,50,120000,333200,455200
354,796172.3821244598,355,0.6266571077687423,50,120000,334000,456000
355,795530.2864634271,356,0.6267361319332855,50,120000,334800,456800
356,794887.5159559783,357,0.6268148183669303,50,120000,335600,457600
357,794244.0753659545,358,0.6268931694537697,50,120000,336400,458400
358,793599.9694104288,359,0.6269711875544907,50,120000,337200,459200
359,792955.2027602934,360,0.6270488750066691,50,120000,338000,460000
360,792309.7800408425,361,0.6271262341250609,50,120000,338800,460800
361,791663.705832344,362,0.6272032672018882,50,120000,339600,461600
362,791016.9846706011,363,0.627279976507121,50,120000,340400,462400
363,790369.6210475082,364,0.6273563642887542,50,120000,341200,463200
364,789721.619411597,365,0.6274324327730821,50,120000,342000,464000
365,789072.9841685735,366,0.6275081841649665,50,120000,342800,464800
366,788423.7196818502,367,0.6275836206481028,50,120000,343600,465600
367,787773.830273065,368,0.6276587443852807,50,120000,344400,466400
368,787123.3202225976,369,0.6277335575186415,50,120000,345200,467200
369,786472.1937700748,370,0.6278080621699317,50,120000,346000,468000
370,785820.4551148713,371,0.6278822604407531,50,120000,346800,468800
371,785168.1084165983,372,0.6279561544128082,50,120000,347600,469600
372,784515.1577955906,373,0.6280297461481427,50,120000,348400,470400
373,783861.6073333814,374,0.6281030376893842,50,120000,349200,471200
374,783207.4610731746,375,0.6281760310599783,50,120000,350000,472000
375,782552.723020307,376,0.6282487282644195,50,120000,350800,472800
376,781897.397142703,377,0.628321131288479,50,120000,351600,473600
377,781241.4873713283,378,0.6283932420994321,50,120000,352400,474400
378,780584.9976006295,379,0.6284650626462777,50,120000,353200,475200
379,779927.9316889714,380,0.6285365948599574,50,120000,354000,476000
380,779270.2934590706,381,0.6286078406535723,50,120000,354800,476800
381,778612.0866984145,382,0.6286788019225932,50,120000,355600,477600
382,777953.315159684,383,0.6287494805450714,50,120000,356400,478400
383,777293.9825611634,384,0.6288198783818443,50,120000,357200,479200
384,776634.0925871457,385,0.6288899972767384,50,120000,358000,480000
385,775973.6488883351,386,0.6289598390567702,50,120000,358800,480800
386,775312.6550822398,387,0.6290294055323432,50,120000,359600,481600
387,774651.1147535625,388,0.6290986984974433,50,120000,360400,482400
388,773989.031454582,389,0.6291677197298292,50,120000,361200,483200
389,773326.4087055332,390,0.6292364709912236,50,120000,362000,484000
390,772663.2499949778,391,0.6293049540274979,50,120000,362800,484800
391,771999.5587801728,392,0.6293731705688569,50,120000,363600,485600
392,771335.338487433,393,0.6294411223300201,50,120000,364400,486400
393,770670.592512487,394,0.6295088110104002,50,120000,365200,487200
394,770005.3242208303,395,0.6295762382942794,50,120000,366000,488000
395,769339.5369480723,396,0.6296434058509831,50,120000,366800,488800
396,768673.2340002772,397,0.6297103153350511,50,120000,367600,489600
397,768006.4186543042,398,0.6297769683864066,50,120000,368400,490400
398,767339.0941581386,399,0.6298433666305233,50,120000,369200,491200
